1,1.26
2,0.10
3,0.20
4,0.80
5,0.00
6,0.20
7,0.60
8,0.70
9,0.10
10,0.30
11,0.20
12,0.10
13,25.20
14,53.40
15,60.20
16,55.40
17,60.00
18,58.30
19,56.70
20,57.20
21,53.10
22,54.00
23,60.90
24,61.50
25,55.50
26,57.20
27,56.80
28,56.90
29,59.10
30,58.60
31,57.40
32,57.90
33,57.00
34,60.90
35,59.90
36,53.10
37,52.60
38,57.00
39,54.70
40,58.10
41,54.20
42,56.40
43,72.70
44,92.60
45,93.40
46,92.20
47,92.00
48,93.20
49,93.80
50,91.70
51,92.10
52,94.90
53,93.40
54,91.50
55,92.80
56,91.30
57,91.30
58,92.70
59,93.00
60,91.10
61,89.90
62,90.80
63,87.00
64,89.30
65,90.40
66,89.10
67,89.30
68,89.30
69,88.70
70,88.30
71,88.20
72,89.40
73,89.20
74,91.10
75,90.80
76,91.10
77,89.90
78,89.10
79,86.80
80,86.80
81,90.80
82,87.90
83,89.00
84,87.80
85,89.00
86,90.30
87,88.30
88,90.00
89,88.40
90,89.80
91,89.90
92,87.10
93,89.90
94,89.00
95,89.10
96,87.10
97,88.20
98,89.90
99,88.90
100,88.50
101,88.50
102,94.00
103,92.60
104,93.60
105,95.30
106,94.30
107,91.60
108,88.50
109,90.50
110,88.60
111,91.10
112,89.40
113,88.80
114,89.60
115,89.70
116,90.20
117,87.60
118,87.90
119,89.40
120,88.50
121,88.40
122,89.60
123,89.40
124,90.60
125,87.30
126,92.00
127,89.00
128,87.20
129,89.90
130,87.50
131,89.00
132,87.10
133,44.80
134,87.20
135,90.30
136,90.00
137,88.30
138,87.10
139,91.80
140,88.50
141,87.50
142,88.60
143,89.80
144,86.50
145,89.30
146,87.60
147,90.10
148,86.63
149,89.10
150,88.50
151,90.60
152,91.20
153,89.10
154,87.60
155,89.10
156,92.00
157,87.60
158,88.10
159,93.80
160,92.10
161,94.30
162,93.90
163,92.00
164,88.10
165,90.20
166,88.30
167,90.00
168,89.50
169,88.80
170,87.40
171,89.60
172,85.40
173,89.40
174,87.60
175,90.70
176,86.40
177,91.70
178,92.60
179,92.10
180,88.00
181,88.60
182,89.40
183,89.50
184,88.90
185,86.80
186,90.10
187,89.10
188,89.90
189,88.50
190,88.30
191,89.20
192,89.30
193,88.00
194,4.90
195,2.60
196,0.00
197,0.50
198,0.00
199,0.10
200,2.60
201,0.00
202,0.00
203,0.00
204,2.40
